transmitting,holding,state,prob,rate
5,8,c,1.355850844017871e-05,333.33
5,9,c,1.2912857801686507e-05,333.33
5,10,c,1.2297952784043266e-05,333.33
5,11,c,1.1712329292427467e-05,333.33
5,12,c,1.1154592951761518e-05,333.33
5,13,c,1.0623415788388733e-05,333.33
5,14,c,1.0117533064634238e-05,333.33
5,15,c,9.635740269549385e-06,333.33
5,16,c,9.176890250795173e-06,333.33
5,17,c,8.739890482668008e-06,333.33
5,18,c,8.323700465134014e-06,333.33
5,19,c,7.927329246289794e-06,333.33
5,20,c,7.549833063217737e-06,333.33
5,21,c,7.1903130943135935e-06,333.33
5,22,c,6.847913319611943e-06,333.33
5,23,c,6.5218184822630206e-06,333.33
5,24,c,6.21125214810174e-06,333.33
5,25,c,5.915474855958653e-06,333.33
5,26,c,5.6337823578499e-06,333.33
5,27,c,5.365503941395087e-06,333.33
5,28,c,5.110000833791346e-06,333.33
5,29,c,4.866664679737509e-06,333.33
5,30,c,4.634916094125895e-06,333.33
5,31,c,4.414203281503375e-06,333.33
5,32,c,4.204000722956272e-06,333.33
5,33,c,4.00380792434056e-06,333.33
5,34,c,3.8131482251564414e-06,333.33
5,35,c,3.631567663069091e-06,333.33
5,36,c,3.458633893222518e-06,333.33
5,37,c,3.2939351588307557e-06,333.33
5,38,c,3.1370793110910734e-06,333.33
5,39,c,2.9876928746937306e-06,333.33
5,40,c,2.845420159483721e-06,333.33
5,41,c,2.709922412860907e-06,333.33
5,42,c,2.580877013582978e-06,333.33
5,43,c,2.4579767036388677e-06,333.33
5,44,c,2.3409288563157713e-06,333.33
5,45,c,2.229454779583643e-06,333.33
5,46,c,2.123289052992074e-06,333.33
5,47,c,2.022178894950153e-06,333.33
5,48,c,1.9258835613125882e-06,333.33
5,49,c,1.8341737721180418e-06,333.33
5,50,c,3.668303524234564e-05,333.33
6,0,c,2.2511207003339297e-05,333.33
6,1,c,2.1439232513956032e-05,333.33
6,2,c,2.0418305012254494e-05,333.33
6,3,c,1.9445993661550784e-05,333.33
6,4,c,1.851998338032952e-05,333.33
6,5,c,1.7638069330830986e-05,333.33
6,6,c,1.679815166834916e-05,333.33
6,7,c,1.5998230542313713e-05,333.33
6,8,c,1.5236401333805196e-05,333.33
6,9,c,1.4510850121065069e-05,333.33
6,10,c,1.3819849360991517e-05,333.33
6,11,c,1.316175377508254e-05,333.33
6,12,c,1.2534996432333982e-05,333.33
