gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,8,3,3,10,2157359.0,0.0,6195159,3790716,0
0.003,8,4,3,10,11974.0,4533.75,5809332,5550398,0.3786328712209788
0.003,8,5,3,10,2139302.0,0.0,5960407,3598078,0
0.003,8,6,3,10,2989598.0,0.0,6092757,2856004,0
0.003,8,7,3,10,843409.0,0.0,5916685,4826211,0
0.003,8,8,3,10,0.0,0.0,6069193,5822157,0
0.003,8,9,3,10,2983631.0,0.0,5743622,2512809,0
0.003,9,0,3,10,2923546.0,0.0,6099324,2934634,0
0.003,9,1,3,10,2977205.0,0.0,6261286,3043409,0
0.003,9,2,3,10,2988740.0,0.0,5814985,2579512,0
0.003,9,3,3,10,54147.0,0.0,6253541,5958569,0
0.003,9,4,3,10,0.0,0.0,6466551,6219213,0
0.003,9,5,3,10,2989511.0,0.0,5889072,2651948,0
0.003,9,6,3,10,2984074.0,0.0,5955670,2724608,0
0.003,9,7,3,10,0.0,0.0,6008287,5760762,0
0.003,9,8,3,10,18056.0,4502.25,5918063,5652772,0.24934924678777137
0.003,9,9,3,10,2995547.0,0.0,5942900,2706327,0
0.003,10,0,3,10,12021.0,4008.666666666667,5809620,5557013,0.33347197959127084
0.003,10,1,3,10,2989690.0,0.0,6075213,2850401,0
0.003,10,2,3,10,2976877.0,0.0,5701427,2483408,0
0.003,10,3,3,10,2982903.0,0.0,6188442,2958483,0
0.003,10,4,3,10,0.0,0.0,6044941,5798122,0
0.003,10,5,3,10,879687.0,0.0,6092087,4971473,0
0.003,10,6,3,10,2989424.0,0.0,5959853,2729419,0
0.003,10,7,3,10,2098314.0,4014.6666666666665,5991642,3646723,0.0019132821239655584
0.003,10,8,3,10,0.0,0.0,5992509,5751061,0
0.003,10,9,3,10,2982875.0,0.0,5994934,2771358,0
0.003,11,0,3,10,1856788.0,2024.3333333333335,6063300,3959833,0.0010902339595760709
0.003,11,1,3,10,2983118.0,0.0,5700455,2482397,0
0.003,11,2,3,10,2982465.0,0.0,6098611,2874903,0
0.003,11,3,3,10,1127199.0,0.0,6219284,4844886,0
0.003,11,4,3,10,0.0,0.0,6169784,5922621,0
0.003,11,5,3,10,2989512.0,2005.0000000000002,5888227,2651186,0.0006706780237042033
0.003,11,6,3,10,2989109.0,0.0,6170876,2946814,0
0.003,11,7,3,10,5987.0,1995.6666666666665,5906779,5659669,0.3333333333333333
0.003,11,8,3,10,0.0,0.0,6219426,5978623,0
0.003,11,9,3,10,2990166.0,0.0,5889477,2652164,0
0.003,12,0,3,10,2512825.0,4022.3333333333335,5815327,3055340,0.0016007216313644339
0.003,12,1,3,10,2971206.0,0.0,5889490,2677230,0
0.003,12,2,3,10,2994495.0,0.0,6110340,2874933,0
0.003,12,3,3,10,470245.0,0.0,5886587,5181218,0
0.003,12,4,3,10,0.0,0.0,5916996,5669864,0
0.003,12,5,3,10,2988951.0,0.0,6272682,3036965,0
0.003,12,6,3,10,2989238.0,0.0,6423752,3193564,0
0.003,12,7,3,10,0.0,0.0,6063258,5816488,0
0.003,12,8,3,10,0.0,0.0,6220489,5979679,0
0.003,12,9,3,10,2982230.0,0.0,6008656,2779360,0
0.003,13,0,3,10,162763.0,0.0,5910995,5501429,0
0.003,13,1,3,10,2983460.0,0.0,6038395,2826086,0
0.003,13,2,3,10,2989447.0,0.0,6404956,3168383,0
0.003,13,3,3,10,2815088.0,0.0,6183908,3133844,0
0.003,13,4,3,10,12078.0,4525.5,6074698,5815345,0.3746895181321411
0.003,13,5,3,10,2965407.0,0.0,5732345,2519592,0
0.003,13,6,3,10,2990046.0,0.0,6250009,3019021,0
0.003,13,7,3,10,12072.0,0.0,5918717,5665700,0
